973,53,148,235,330
1133,100,176,254,325
1550,90,146,205,263
2020,97,140,188,232
2269,64,104,142,182
2718,67,100,133,167
2830,83,116,150,179
2930,100,131,160,190
3038,115,148,172,200
3283,142,168,196,224
